"gene_symbol","T41231_008","T41231_012","T41231_013","T22568_001","T22568_002","T6445_001","T6445_002","T6445_003","T6445_004","T226_002","T226_003","T226_004","T14908_002","T14908_006","T2158_013","T15959_002","T15959_003","T15959_004","T15959_005"
"NR4A3",28,53,55,27,13,31,25,40,31,24,18,42,39,33,26,8,8,14,28
"IL18R1",28,50,52,31,14,39,26,47,32,27,20,38,41,27,32,9,10,11,24
"MEFV",28,47,49,29,11,39,22,44,35,29,17,47,48,35,23,8,8,11,20
"EIF5AL1",23,41,41,25,12,37,30,44,38,23,16,37,37,25,26,8,8,12,21
"CCL21",21,39,35,23,9,37,28,36,33,47,51,48,36,20,22,10,12,35,34
"MRC1",29,44,51,28,15,44,43,47,41,50,27,70,194,92,46,8,8,18,27
"XCR1",23,42,42,32,11,40,31,39,32,25,20,41,39,31,22,9,13,13,31
"ROCK1",62,83,109,46,18,71,38,80,68,45,47,59,66,41,44,18,17,35,51
"SOD2",81,206,216,116,64,92,71,377,123,201,148,231,80,78,52,35,31,112,56
"C3",1263,2248,4585,179,70,109,80,541,114,738,147,980,107,103,52,229,298,482,472
"KDM5C",40,65,71,51,23,37,35,48,38,40,35,50,42,25,32,6,10,16,20
"CTAG1B",30,40,45,31,14,32,29,36,45,24,21,38,35,20,23,6,7,17,22
"ROPN1",27,49,46,28,14,38,35,40,30,26,18,35,36,24,29,6,11,15,16
"ABL1",83,123,151,66,23,68,45,94,67,84,86,90,63,55,54,19,15,27,34
"PDK1",41,67,50,34,22,33,25,70,63,29,23,42,37,28,33,8,9,12,21
"EPCAM",34,58,75,29,12,29,26,42,32,22,17,41,38,27,31,6,8,9,25
"CEACAM3",22,41,39,26,6,31,22,44,33,19,14,43,30,38,27,5,8,11,20
"ENDOG",31,59,57,31,9,32,24,41,24,23,36,42,44,30,32,12,4,14,16
"ZBTB20",46,75,81,37,23,43,38,49,47,33,26,50,45,32,28,8,7,16,24
"RXRG",28,47,54,33,14,37,32,41,31,24,16,41,33,25,26,8,5,8,21
